 season_year |   player_name   | num_wickets | runs 
-------------+-----------------+-------------+------
        2015 | DJ Bravo        |          26 |  195
        2016 | SR Watson       |          20 |  179
        2013 | NLTC Perera     |          19 |  235
        2008 | SR Watson       |          17 |  468
        2008 | JA Morkel       |          17 |  241
        2009 | IK Pathan       |          17 |  196
        2013 | JH Kallis       |          16 |  311
        2012 | KA Pollard      |          16 |  220
        2012 | JH Kallis       |          15 |  409
        2012 | DJ Bravo        |          15 |  371
        2010 | IK Pathan       |          15 |  276
        2010 | KA Pollard      |          15 |  273
        2013 | Azhar Mahmood   |          15 |  196
        2016 | AD Russell      |          15 |  188
        2015 | AD Russell      |          14 |  326
        2012 | Azhar Mahmood   |          14 |  186
        2010 | JH Kallis       |          13 |  572
        2013 | SR Watson       |          13 |  543
        2011 | YK Pathan       |          13 |  283
        2015 | AR Patel        |          13 |  206
        2013 | RA Jadeja       |          13 |  201
        2016 | CH Morris       |          13 |  195
        2010 | A Symonds       |          12 |  429
        2012 | RA Jadeja       |          12 |  191
        2016 | MC Henriques    |          12 |  182
        2009 | RG Sharma       |          11 |  362
        2014 | Shakib Al Hasan |          11 |  229
        2009 | DJ Bravo        |          11 |  218
        2010 | JA Morkel       |          11 |  199
        2011 | DT Christian    |          11 |  190
        2014 | JP Faulkner     |          11 |  181
        2011 | IK Pathan       |          11 |  150
        2013 | KA Pollard      |          10 |  420
        2013 | IK Pathan       |          10 |  153
        2011 | Yuvraj Singh    |           9 |  343
        2016 | NLTC Perera     |           9 |  150
        2011 | CH Gayle        |           8 |  604
        2008 | YK Pathan       |           8 |  435
        2015 | JP Duminy       |           8 |  414
        2016 | DR Smith        |           8 |  324
        2011 | RA Jadeja       |           8 |  283
        2010 | AD Mathews      |           8 |  233
        2016 | RA Jadeja       |           8 |  191
        2012 | IK Pathan       |           8 |  176
        2013 | DJG Sammy       |           8 |  174
        2011 | PC Valthaty     |           7 |  459
        2009 | SK Raina        |           7 |  434
        2011 | JH Kallis       |           7 |  424
        2009 | BJ Hodge        |           7 |  365
        2011 | BJ Hodge        |           7 |  285
        2009 | YK Pathan       |           7 |  261
        2014 | SR Watson       |           7 |  246
        2011 | J Botha         |           7 |  230
        2008 | JR Hopes        |           7 |  221
        2009 | ST Jayasuriya   |           7 |  221
        2011 | JR Hopes        |           7 |  196
        2013 | MC Henriques    |           7 |  165
        2010 | SK Raina        |           6 |  528
        2009 | JH Kallis       |           6 |  361
        2008 | SC Ganguly      |           6 |  349
        2015 | SR Watson       |           6 |  347
        2009 | Yuvraj Singh    |           6 |  340
        2011 | SR Watson       |           6 |  330
        2009 | RA Jadeja       |           6 |  295
        2013 | STR Binny       |           6 |  293
        2013 | Yuvraj Singh    |           6 |  238
        2016 | KH Pandya       |           6 |  237
        2012 | JEC Franklin    |           6 |  214
        2008 | LR Shukla       |           6 |  157
        2014 | Yuvraj Singh    |           5 |  376
        2010 | YK Pathan       |           5 |  333
        2010 | Yuvraj Singh    |           5 |  259
        2010 | RS Bopara       |           5 |  248
        2009 | TL Suman        |           5 |  237
        2013 | AD Mathews      |           5 |  172
(75 rows)

