   player_name    
------------------
 AA Jhunjhunwala
 AB de Villiers
 AC Gilchrist
 AJ Finch
 AM Rahane
 A Symonds
 AT Rayudu
 BB McCullum
 BJ Hodge
 BJ Rohrer
 CA Pujara
 CH Gayle
 CH Morris
 CJ Anderson
 CL White
 DA Miller
 DA Warner
 DJ Bravo
 DJG Sammy
 DJ Hussey
 DPMD Jayawardene
 DR Smith
 EJG Morgan
 F du Plessis
 G Gambhir
 GJ Bailey
 GJ Maxwell
 Gurkeerat Singh
 Harbhajan Singh
 HH Gibbs
 HM Amla
 IK Pathan
 JA Morkel
 JD Ryder
 JEC Franklin
 JH Kallis
 JP Duminy
 JR Hopes
 KA Pollard
 KC Sangakkara
 KD Karthik
 KL Rahul
 KM Jadhav
 KP Pietersen
 LMP Simmons
 LRPL Taylor
 MA Agarwal
 MC Henriques
 MEK Hussey
 MK Pandey
 MK Tiwary
 ML Hayden
 MN van Wyk
 MS Bisla
 MS Dhoni
 M Vijay
 M Vohra
 NK Patel
 N Rana
 NV Ojha
 OA Shah
 PA Patel
 PD Collingwood
 Q de Kock
 R Dravid
 RG Sharma
 R McLaren
 RN ten Doeschate
 RS Bopara
 RV Uthappa
 Salman Butt
 S Badrinath
 SC Ganguly
 S Dhawan
 SE Marsh
 Shakib Al Hasan
 SK Raina
 SPD Smith
 SP Goswami
 SR Tendulkar
 SR Watson
 S Sohal
 SS Tiwary
 ST Jayasuriya
 S Vidyut
 SV Samson
 TM Dilshan
 V Kohli
 V Sehwag
 VVS Laxman
 WP Saha
 YK Pathan
 Yuvraj Singh
 Y Venugopal Rao
(94 rows)

