 season_year |          team_name          | rank 
-------------+-----------------------------+------
        2008 | Chennai Super Kings         |    1
        2008 | Kings XI Punjab             |    2
        2008 | Deccan Chargers             |    3
        2008 | Rajasthan Royals            |    4
        2008 | Delhi Daredevils            |    5
        2009 | Chennai Super Kings         |    1
        2009 | Rajasthan Royals            |    2
        2009 | Kings XI Punjab             |    3
        2009 | Deccan Chargers             |    4
        2009 | Delhi Daredevils            |    5
        2010 | Chennai Super Kings         |    1
        2010 | Mumbai Indians              |    2
        2010 | Rajasthan Royals            |    3
        2010 | Deccan Chargers             |    4
        2010 | Delhi Daredevils            |    5
        2011 | Delhi Daredevils            |    1
        2011 | Chennai Super Kings         |    2
        2011 | Deccan Chargers             |    3
        2011 | Kings XI Punjab             |    4
        2011 | Pune Warriors               |    5
        2012 | Mumbai Indians              |    1
        2012 | Chennai Super Kings         |    2
        2012 | Kings XI Punjab             |    3
        2012 | Deccan Chargers             |    4
        2012 | Delhi Daredevils            |    5
        2013 | Delhi Daredevils            |    1
        2013 | Kings XI Punjab             |    2
        2013 | Kolkata Knight Riders       |    3
        2013 | Sunrisers Hyderabad         |    4
        2013 | Chennai Super Kings         |    5
        2014 | Royal Challengers Bangalore |    1
        2014 | Delhi Daredevils            |    2
        2014 | Kings XI Punjab             |    3
        2014 | Mumbai Indians              |    4
        2014 | Kolkata Knight Riders       |    5
        2015 | Kings XI Punjab             |    1
        2015 | Delhi Daredevils            |    2
        2015 | Kolkata Knight Riders       |    3
        2015 | Royal Challengers Bangalore |    4
        2015 | Mumbai Indians              |    5
        2016 | Kolkata Knight Riders       |    1
        2016 | Kings XI Punjab             |    2
        2016 | Rising Pune Supergiants     |    3
        2016 | Sunrisers Hyderabad         |    4
        2016 | Delhi Daredevils            |    5
(45 rows)

